"source_desc","crops","location","year","total","irrigated"
"SURVEY","ARTICHOKES","06",2005,7900,NA
"SURVEY","ASPARAGUS","06",2005,24100,NA
"SURVEY","BARLEY","06",2005,60000,24000
"SURVEY","BARLEY","06001",2005,400,NA
"SURVEY","BARLEY","06019",2005,8000,3500
"SURVEY","BARLEY","06021",2005,3200,2500
"SURVEY","BARLEY","06029",2005,3300,1200
"SURVEY","BARLEY","06031",2005,2000,1000
"SURVEY","BARLEY","06037",2005,900,NA
"SURVEY","BARLEY","06039",2005,1000,1000
"SURVEY","BARLEY","06047",2005,3800,3000
"SURVEY","BARLEY","06049",2005,1400,1400
"SURVEY","BARLEY","06053",2005,3600,NA
"SURVEY","BARLEY","06065",2005,1000,NA
"SURVEY","BARLEY","06067",2005,1400,1200
"SURVEY","BARLEY","06069",2005,800,NA
"SURVEY","BARLEY","06071",2005,200,200
"SURVEY","BARLEY","06077",2005,800,600
"SURVEY","BARLEY","06079",2005,16200,500
"SURVEY","BARLEY","06083",2005,200,NA
"SURVEY","BARLEY","06093",2005,5400,5200
"SURVEY","BARLEY","06095",2005,2600,900
"SURVEY","BARLEY","06099",2005,400,400
"SURVEY","BARLEY","06103",2005,1000,NA
"SURVEY","BARLEY","06107",2005,1400,800
"SURVEY","BARLEY","06113",2005,800,600
"SURVEY","BARLEY","06ag20",2005,5400,5200
"SURVEY","BARLEY","06ag30",2005,1400,1400
"SURVEY","BARLEY","06ag40",2005,21000,500
"SURVEY","BARLEY","06ag50",2005,9000,5200
"SURVEY","BARLEY","06ag51",2005,20700,11500
"SURVEY","BARLEY","06ag80",2005,2500,200
"SURVEY","BEANS, DRY EDIBLE","06",2005,65000,65000
"SURVEY","BEANS, DRY EDIBLE","06007",2005,800,800
"SURVEY","BEANS, DRY EDIBLE","06011",2005,5800,5800
"SURVEY","BEANS, DRY EDIBLE","06019",2005,7300,7300
"SURVEY","BEANS, DRY EDIBLE","06021",2005,2900,2900
"SURVEY","BEANS, DRY EDIBLE","06029",2005,2700,2700
"SURVEY","BEANS, DRY EDIBLE","06031",2005,2600,2600
"SURVEY","BEANS, DRY EDIBLE","06039",2005,400,400
"SURVEY","BEANS, DRY EDIBLE","06047",2005,2600,2600
"SURVEY","BEANS, DRY EDIBLE","06053",2005,1200,1200
"SURVEY","BEANS, DRY EDIBLE","06059",2005,1300,1300
"SURVEY","BEANS, DRY EDIBLE","06067",2005,400,400
"SURVEY","BEANS, DRY EDIBLE","06077",2005,6300,6300
"SURVEY","BEANS, DRY EDIBLE","06083",2005,3800,3800
"SURVEY","BEANS, DRY EDIBLE","06095",2005,3400,3400
"SURVEY","BEANS, DRY EDIBLE","06099",2005,10900,10900
"SURVEY","BEANS, DRY EDIBLE","06101",2005,6900,6900
"SURVEY","BEANS, DRY EDIBLE","06103",2005,500,500
"SURVEY","BEANS, DRY EDIBLE","06107",2005,2300,2300
"SURVEY","BEANS, DRY EDIBLE","06113",2005,2200,2200
"SURVEY","BEANS, DRY EDIBLE","06ag40",2005,1500,1500
"SURVEY","BEANS, DRY EDIBLE","06ag50",2005,23100,23100
"SURVEY","BEANS, DRY EDIBLE","06ag51",2005,35100,35100
"SURVEY","BEANS, DRY EDIBLE","06ag80",2005,5300,5300
"SURVEY","BEANS, DRY EDIBLE, BLACK","06",2005,400,NA
"SURVEY","BEANS, DRY EDIBLE, BLACKEYE","06",2005,8900,NA
"SURVEY","BEANS, DRY EDIBLE, CHICKPEAS","06",2005,9700,9700
"SURVEY","BEANS, DRY EDIBLE, CHICKPEAS","06019",2005,3200,3200
"SURVEY","BEANS, DRY EDIBLE, CHICKPEAS","06029",2005,200,200
"SURVEY","BEANS, DRY EDIBLE, CHICKPEAS","06031",2005,2600,2600
"SURVEY","BEANS, DRY EDIBLE, CHICKPEAS","06047",2005,300,300
"SURVEY","BEANS, DRY EDIBLE, CHICKPEAS","06077",2005,400,400
"SURVEY","BEANS, DRY EDIBLE, CHICKPEAS","06095",2005,600,600
"SURVEY","BEANS, DRY EDIBLE, CHICKPEAS","06101",2005,1600,1600
"SURVEY","BEANS, DRY EDIBLE, CHICKPEAS","06113",2005,500,500
"SURVEY","BEANS, DRY EDIBLE, CHICKPEAS","06ag40",2005,300,300
"SURVEY","BEANS, DRY EDIBLE, CHICKPEAS","06ag50",2005,2700,2700
"SURVEY","BEANS, DRY EDIBLE, CHICKPEAS","06ag51",2005,6700,6700
"SURVEY","BEANS, DRY EDIBLE, CHICKPEAS, LARGE","06",2005,9700,NA
"SURVEY","BEANS, DRY EDIBLE, CRANBERRY","06",2005,1100,NA
"SURVEY","BEANS, DRY EDIBLE, DARK, RED, KIDNEY","06",2005,1200,NA
"SURVEY","BEANS, DRY EDIBLE, LIGHT, RED, KIDNEY","06",2005,3500,NA
"SURVEY","BEANS, DRY EDIBLE, LIMA","06",2005,31400,31400
"SURVEY","BEANS, DRY EDIBLE, LIMA","06011",2005,2700,2700
"SURVEY","BEANS, DRY EDIBLE, LIMA","06019",2005,1400,1400
"SURVEY","BEANS, DRY EDIBLE, LIMA","06021",2005,1200,1200
"SURVEY","BEANS, DRY EDIBLE, LIMA","06047",2005,900,900
"SURVEY","BEANS, DRY EDIBLE, LIMA","06053",2005,1200,1200
"SURVEY","BEANS, DRY EDIBLE, LIMA","06059",2005,1300,1300
"SURVEY","BEANS, DRY EDIBLE, LIMA","06077",2005,4900,4900
"SURVEY","BEANS, DRY EDIBLE, LIMA","06083",2005,3300,3300
"SURVEY","BEANS, DRY EDIBLE, LIMA","06095",2005,1100,1100
"SURVEY","BEANS, DRY EDIBLE, LIMA","06099",2005,7800,7800
"SURVEY","BEANS, DRY EDIBLE, LIMA","06101",2005,3800,3800
"SURVEY","BEANS, DRY EDIBLE, LIMA","06103",2005,500,500
"SURVEY","BEANS, DRY EDIBLE, LIMA","06113",2005,900,900
"SURVEY","BEANS, DRY EDIBLE, LIMA","06ag40",2005,1200,1200
"SURVEY","BEANS, DRY EDIBLE, LIMA","06ag50",2005,10400,10400
"SURVEY","BEANS, DRY EDIBLE, LIMA","06ag51",2005,15000,15000
"SURVEY","BEANS, DRY EDIBLE, LIMA","06ag80",2005,4800,4800
"SURVEY","BEANS, DRY EDIBLE, LIMA, BABY","06",2005,16400,NA
"SURVEY","BEANS, DRY EDIBLE, LIMA, LARGE","06",2005,15000,NA
"SURVEY","BEANS, DRY EDIBLE, OTHER","06",2005,8500,19200
"SURVEY","BEANS, DRY EDIBLE, OTHER","06007",2005,400,400
"SURVEY","BEANS, DRY EDIBLE, OTHER","06011",2005,2200,2200
"SURVEY","BEANS, DRY EDIBLE, OTHER","06019",2005,2700,2700
"SURVEY","BEANS, DRY EDIBLE, OTHER","06021",2005,1200,1200
"SURVEY","BEANS, DRY EDIBLE, OTHER","06029",2005,2500,2500
"SURVEY","BEANS, DRY EDIBLE, OTHER","06039",2005,400,400
"SURVEY","BEANS, DRY EDIBLE, OTHER","06047",2005,1400,1400
"SURVEY","BEANS, DRY EDIBLE, OTHER","06067",2005,200,200
"SURVEY","BEANS, DRY EDIBLE, OTHER","06077",2005,300,300
"SURVEY","BEANS, DRY EDIBLE, OTHER","06083",2005,500,500
"SURVEY","BEANS, DRY EDIBLE, OTHER","06095",2005,900,900
"SURVEY","BEANS, DRY EDIBLE, OTHER","06099",2005,3100,3100
"SURVEY","BEANS, DRY EDIBLE, OTHER","06101",2005,1100,1100
"SURVEY","BEANS, DRY EDIBLE, OTHER","06107",2005,2000,2000
"SURVEY","BEANS, DRY EDIBLE, OTHER","06113",2005,300,300
"SURVEY","BEANS, DRY EDIBLE, OTHER","06ag50",2005,6300,6300
"SURVEY","BEANS, DRY EDIBLE, OTHER","06ag51",2005,12400,12400
"SURVEY","BEANS, DRY EDIBLE, OTHER","06ag80",2005,500,500
"SURVEY","BEANS, DRY EDIBLE, PINK","06",2005,300,NA
"SURVEY","BEANS, DRY EDIBLE, RED, KIDNEY","06",2005,4700,4700
"SURVEY","BEANS, DRY EDIBLE, RED, KIDNEY","06007",2005,400,400
"SURVEY","BEANS, DRY EDIBLE, RED, KIDNEY","06011",2005,900,900
"SURVEY","BEANS, DRY EDIBLE, RED, KIDNEY","06021",2005,500,500
"SURVEY","BEANS, DRY EDIBLE, RED, KIDNEY","06067",2005,200,200
"SURVEY","BEANS, DRY EDIBLE, RED, KIDNEY","06077",2005,700,700
"SURVEY","BEANS, DRY EDIBLE, RED, KIDNEY","06095",2005,800,800
"SURVEY","BEANS, DRY EDIBLE, RED, KIDNEY","06101",2005,400,400
"SURVEY","BEANS, DRY EDIBLE, RED, KIDNEY","06107",2005,300,300
"SURVEY","BEANS, DRY EDIBLE, RED, KIDNEY","06113",2005,500,500
"SURVEY","BEANS, DRY EDIBLE, RED, KIDNEY","06ag50",2005,3700,3700
"SURVEY","BEANS, DRY EDIBLE, RED, KIDNEY","06ag51",2005,1000,1000
"SURVEY","BEANS, SNAP, FRESH MARKET","06",2005,8000,NA
"SURVEY","BROCCOLI","06",2005,116000,NA
"SURVEY","CABBAGE, FRESH MARKET","06",2005,13300,NA
"SURVEY","CARROTS, PROCESSING","06",2005,4100,NA
"SURVEY","CAULIFLOWER","06",2005,36300,NA
"SURVEY","CELERY","06",2005,25200,NA
"SURVEY","CORN, GRAIN","06",2005,130000,NA
"SURVEY","CORN, GRAIN","06007",2005,200,NA
"SURVEY","CORN, GRAIN","06011",2005,1400,NA
"SURVEY","CORN, GRAIN","06013",2005,4900,NA
"SURVEY","CORN, GRAIN","06019",2005,3800,NA
"SURVEY","CORN, GRAIN","06021",2005,9000,NA
"SURVEY","CORN, GRAIN","06025",2005,300,NA
"SURVEY","CORN, GRAIN","06031",2005,3400,NA
"SURVEY","CORN, GRAIN","06039",2005,1100,NA
"SURVEY","CORN, GRAIN","06047",2005,7800,NA
"SURVEY","CORN, GRAIN","06067",2005,28500,NA
"SURVEY","CORN, GRAIN","06077",2005,48500,NA
"SURVEY","CORN, GRAIN","06095",2005,4700,NA
"SURVEY","CORN, GRAIN","06099",2005,3300,NA
"SURVEY","CORN, GRAIN","06101",2005,2900,NA
"SURVEY","CORN, GRAIN","06103",2005,1100,NA
