commodity,unit,fips,adc,state,yield,county_yield,ad_yield,st_yield,st_irrigated,st_partial,st_none
BARLEY,BU,41069,41ag80,41,90.45,,90.45,62.73,94.45,72.50,47.00
BARLEY,BU,53023,53ag90,53,60.68,60.68,65.58,62.27,84.60,66.00,65.20
BARLEY,BU,53013,53ag90,53,72.65,72.65,65.58,62.27,84.60,66.00,65.20
BARLEY,BU,53003,53ag90,53,49.87,49.87,65.58,62.27,84.60,66.00,65.20
BARLEY,BU,53075,53ag90,53,72.72,72.72,65.58,62.27,84.60,66.00,65.20
BARLEY,BU,53071,53ag90,53,72.00,72.00,65.58,62.27,84.60,66.00,65.20
BARLEY,BU,53021,53ag50,53,107.46,107.46,58.18,62.27,84.60,66.00,65.20
BARLEY,BU,53017,53ag50,53,35.31,35.31,58.18,62.27,84.60,66.00,65.20
BARLEY,BU,53043,53ag50,53,57.25,57.25,58.18,62.27,84.60,66.00,65.20
BARLEY,BU,53001,53ag50,53,55.59,55.59,58.18,62.27,84.60,66.00,65.20
BARLEY,BU,53025,53ag50,53,35.27,35.27,58.18,62.27,84.60,66.00,65.20
BARLEY,BU,53065,53ag30,53,49.73,49.73,55.63,62.27,84.60,66.00,65.20
BARLEY,BU,53051,53ag30,53,55.63,,55.63,62.27,84.60,66.00,65.20
BARLEY,BU,53019,53ag30,53,55.63,,55.63,62.27,84.60,66.00,65.20
BARLEY,BU,53063,53ag30,53,61.52,61.52,55.63,62.27,84.60,66.00,65.20
BARLEY,BU,53037,53ag20,53,54.18,,54.18,62.27,84.60,66.00,65.20
BARLEY,BU,53007,53ag20,53,33.50,33.50,54.18,62.27,84.60,66.00,65.20
BARLEY,BU,53039,53ag20,53,51.10,51.10,54.18,62.27,84.60,66.00,65.20
BARLEY,BU,53077,53ag20,53,108.03,108.03,54.18,62.27,84.60,66.00,65.20
BARLEY,BU,53005,53ag20,53,48.42,48.42,54.18,62.27,84.60,66.00,65.20
