commodity,irrigation
ARTICHOKES,f
ASPARAGUS,f
BARLEY,t
BEANS,t
BEETS,f
"BERRIES, OTHER",f
BERRY TOTALS,f
BLACKBERRIES,f
BLUEBERRIES,f
BOYSENBERRIES,f
BROCCOLI,f
BRUSSELS SPROUTS,f
BUCKWHEAT,t
CABBAGE,f
CANOLA,t
CARROTS,f
CAULIFLOWER,f
CELERY,f
CHICORY,f
CORN,t
COTTON,t
CRAMBE,f
CRANBERRIES,f
CUCUMBERS,f
CURRANTS,f
DAIKON,f
DILL,f
EGGPLANT,f
EMMER & SPELT,t
ESCAROLE & ENDIVE,f
"FIELD CROPS, OTHER",t
FLAXSEED,t
GARLIC,f
GINSENG,f
GRASSES,f
"GRASSES & LEGUMES, OTHER",f
GRASSES & LEGUMES TOTALS,f
GREENS,f
HAY,t
HAY & HAYLAGE,t
HAYLAGE,t
HERBS,t
HOPS,t
HORSERADISH,f
JOJOBA,f
LEGUMES,f
LENTILS,t
LETTUCE,f
LOGANBERRIES,f
MELONS,f
MILLET,t
MINT,t
MUSTARD,f
OATS,t
OKRA,f
ONIONS,f
PARSLEY,f
PEANUTS,t
PEAS,t
PEPPERS,f
POPCORN,f
POTATOES,t
PUMPKINS,f
RADISHES,f
RAPESEED,f
RASPBERRIES,f
RHUBARB,f
RICE,t
RYE,f
SAFFLOWER,t
SHORT TERM WOODY CROPS,f
SOD,f
SORGHUM,t
SOYBEANS,t
SPINACH,f
SQUASH,f
STRAWBERRIES,f
SUGARBEETS,t
SUNFLOWER,t
SWEET CORN,f
SWEET POTATOES,t
SWEET RICE,t
TOMATOES,f
TRITICALE,t
TURNIPS,f
"VEGETABLES, MIXED",f
"VEGETABLES, OTHER",f
VEGETABLE TOTALS,f
WATERCRESS,f
WHEAT,t
WILD RICE,t
