commodity,location,year,reported,irrigated_acres,total_acres,total_production,unit
BARLEY,06001,1997,t,,245,,
BARLEY,06001,1997,f,,245,,
BEDDING PLANT TOTALS,06001,1997,f,,6,,
"BEDDING PLANT TOTALS, IN THE OPEN",06001,1997,f,,6,,
"BEDDING PLANT TOTALS, IN THE OPEN",06001,1997,t,,6,,
CORN,06001,1997,f,496,496,,
"CORN, GRAIN",06001,1997,f,496,496,,
"CORN, GRAIN",06001,1997,t,496,496,,
FLORICULTURE TOTALS,06001,1997,f,,115,,
"FLORICULTURE TOTALS, IN THE OPEN",06001,1997,f,,115,,
"FLORICULTURE TOTALS, IN THE OPEN",06001,1997,t,,115,,
HAY,06001,1997,f,1022,4533,,
"HAY, SMALL GRAIN",06001,1997,f,475,3051,,
"HAY, SMALL GRAIN",06001,1997,t,475,3051,,
"HAY, TAME",06001,1997,f,547,667,,
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",06001,1997,t,547,667,,
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",06001,1997,f,547,667,,
"HAY, WILD",06001,1997,t,,815,,
"HAY, WILD",06001,1997,f,,815,,
HORTICULTURE TOTALS,06001,1997,f,314,314,,
"HORTICULTURE TOTALS, (EXCL CUT TREES)",06001,1997,f,314,314,,
"HORTICULTURE TOTALS, (EXCL CUT TREES), IN THE OPEN",06001,1997,t,314,314,,
"HORTICULTURE TOTALS, (EXCL CUT TREES), IN THE OPEN",06001,1997,f,314,314,,
NURSERY TOTALS,06001,1997,f,,200,,
"NURSERY TOTALS, IN THE OPEN",06001,1997,t,,200,,
"NURSERY TOTALS, IN THE OPEN",06001,1997,f,,200,,
PUMPKINS,06001,1997,t,,26,,
PUMPKINS,06001,1997,f,,26,,
SQUASH,06001,1997,f,,5,,
SQUASH,06001,1997,t,,5,,
TOMATOES,06001,1997,f,,2,,
"TOMATOES, IN THE OPEN",06001,1997,t,,2,,
"TOMATOES, IN THE OPEN",06001,1997,f,,2,,
VEGETABLE TOTALS,06001,1997,f,85,86,,
"VEGETABLE TOTALS, IN THE OPEN",06001,1997,t,85,86,,
"VEGETABLE TOTALS, IN THE OPEN",06001,1997,f,85,86,,
BEANS,06005,1997,f,,1,,
"BEANS, SNAP",06005,1997,f,,1,,
"BEANS, SNAP",06005,1997,t,,1,,
CORN,06005,1997,f,,520,,
"CORN, GRAIN",06005,1997,t,,520,,
"CORN, GRAIN",06005,1997,f,,520,,
EGGPLANT,06005,1997,t,,1,,
EGGPLANT,06005,1997,f,,1,,
HAY,06005,1997,f,1055,2251,,
"HAY, ALFALFA",06005,1997,t,780,991,,
"HAY, ALFALFA",06005,1997,f,780,991,,
"HAY, SMALL GRAIN",06005,1997,t,,785,,
"HAY, SMALL GRAIN",06005,1997,f,,785,,
"HAY, TAME",06005,1997,f,275,475,,
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",06005,1997,t,275,475,,
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",06005,1997,f,275,475,,
HORTICULTURE TOTALS,06005,1997,f,37,37,,
"HORTICULTURE TOTALS, (EXCL CUT TREES)",06005,1997,f,37,37,,
"HORTICULTURE TOTALS, (EXCL CUT TREES), IN THE OPEN",06005,1997,f,37,37,,
"HORTICULTURE TOTALS, (EXCL CUT TREES), IN THE OPEN",06005,1997,t,37,37,,
LETTUCE,06005,1997,t,,1,,
LETTUCE,06005,1997,f,,1,,
RASPBERRIES,06005,1997,t,,2,,
RASPBERRIES,06005,1997,f,,2,,
SQUASH,06005,1997,t,,1,,
SQUASH,06005,1997,f,,1,,
TOMATOES,06005,1997,f,,1,,
"TOMATOES, IN THE OPEN",06005,1997,t,,1,,
"TOMATOES, IN THE OPEN",06005,1997,f,,1,,
VEGETABLE TOTALS,06005,1997,f,38,41,,
"VEGETABLE TOTALS, IN THE OPEN",06005,1997,t,38,41,,
"VEGETABLE TOTALS, IN THE OPEN",06005,1997,f,38,41,,
BEANS,06007,1997,f,3220,3220,,
"BEANS, DRY EDIBLE",06007,1997,f,3220,3220,,
"BEANS, DRY EDIBLE, (EXCL LIMA)",06007,1997,t,2515,2515,,
"BEANS, DRY EDIBLE, (EXCL LIMA)",06007,1997,f,2515,2515,,
"BEANS, DRY EDIBLE, LIMA",06007,1997,t,705,705,,
"BEANS, DRY EDIBLE, LIMA",06007,1997,f,705,705,,
BEDDING PLANT TOTALS,06007,1997,f,,16,,
"BEDDING PLANT TOTALS, IN THE OPEN",06007,1997,f,,16,,
"BEDDING PLANT TOTALS, IN THE OPEN",06007,1997,t,,16,,
BEETS,06007,1997,f,,2,,
BEETS,06007,1997,t,,2,,
BERRY TOTALS,06007,1997,f,,78,,
BERRY TOTALS,06007,1997,t,,78,,
BLACKBERRIES,06007,1997,f,,12,,
"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES",06007,1997,t,,12,,
"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES",06007,1997,f,,12,,
BOYSENBERRIES,06007,1997,t,,4,,
BOYSENBERRIES,06007,1997,f,,4,,
BULBS & CORMS & RHIZOMES & TUBERS,06007,1997,f,,8,,
"BULBS & CORMS & RHIZOMES & TUBERS, DRY",06007,1997,f,,8,,
"BULBS & CORMS & RHIZOMES & TUBERS, DRY, IN THE OPEN",06007,1997,t,,8,,
"BULBS & CORMS & RHIZOMES & TUBERS, DRY, IN THE OPEN",06007,1997,f,,8,,
CABBAGE,06007,1997,f,,1,,
"CABBAGE, HEAD",06007,1997,t,,1,,
"CABBAGE, HEAD",06007,1997,f,,1,,
CARROTS,06007,1997,t,,1,,
CARROTS,06007,1997,f,,1,,
CORN,06007,1997,f,1155,1155,,
"CORN, GRAIN",06007,1997,t,1155,1155,,
"CORN, GRAIN",06007,1997,f,1155,1155,,
EGGPLANT,06007,1997,t,,1,,
EGGPLANT,06007,1997,f,,1,,
FLORICULTURE TOTALS,06007,1997,f,,32,,
"FLORICULTURE TOTALS, IN THE OPEN",06007,1997,t,,32,,
"FLORICULTURE TOTALS, IN THE OPEN",06007,1997,f,,32,,
"FLOWERING PLANTS, POTTED",06007,1997,f,,10,,
"FLOWERING PLANTS, POTTED, FLOWERING PLANTS",06007,1997,f,,10,,
"FLOWERING PLANTS, POTTED, FLOWERING PLANTS, POTTED",06007,1997,f,,10,,
"FLOWERING PLANTS, POTTED, FLOWERING PLANTS, POTTED, INDOOR USE",06007,1997,f,,10,,
"FLOWERING PLANTS, POTTED, FLOWERING PLANTS, POTTED, INDOOR USE, IN THE OPEN",06007,1997,t,,10,,
"FLOWERING PLANTS, POTTED, FLOWERING PLANTS, POTTED, INDOOR USE, IN THE OPEN",06007,1997,f,,10,,
GARLIC,06007,1997,f,,2,,
GARLIC,06007,1997,t,,2,,
HAY,06007,1997,f,3936,5753,,
"HAY, ALFALFA",06007,1997,t,2301,2311,,
"HAY, ALFALFA",06007,1997,f,2301,2311,,
"HAY, SMALL GRAIN",06007,1997,t,786,2168,,
"HAY, SMALL GRAIN",06007,1997,f,786,2168,,
"HAY, TAME",06007,1997,f,849,1274,,
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",06007,1997,t,849,1274,,
"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",06007,1997,f,849,1274,,
HERBS,06007,1997,f,,13,,
"HERBS, FRESH CUT",06007,1997,f,,13,,
"HERBS, FRESH CUT",06007,1997,t,,13,,
HORTICULTURE TOTALS,06007,1997,f,318,318,,
"HORTICULTURE TOTALS, (EXCL CUT TREES)",06007,1997,f,318,318,,
"HORTICULTURE TOTALS, (EXCL CUT TREES), IN THE OPEN",06007,1997,t,318,318,,
"HORTICULTURE TOTALS, (EXCL CUT TREES), IN THE OPEN",06007,1997,f,318,318,,
LETTUCE,06007,1997,f,,7,,
LETTUCE,06007,1997,t,,7,,
MELONS,06007,1997,f,,68,,
"MELONS, CANTALOUP",06007,1997,t,,31,,
"MELONS, CANTALOUP",06007,1997,f,,31,,
"MELONS, HONEYDEW",06007,1997,f,,2,,
"MELONS, HONEYDEW",06007,1997,t,,2,,
"MELONS, WATERMELON",06007,1997,t,,35,,
"MELONS, WATERMELON",06007,1997,f,,35,,
NURSERY TOTALS,06007,1997,f,,149,,
"NURSERY TOTALS, IN THE OPEN",06007,1997,t,,149,,
"NURSERY TOTALS, IN THE OPEN",06007,1997,f,,149,,
OKRA,06007,1997,t,,1,,
OKRA,06007,1997,f,,1,,
PUMPKINS,06007,1997,t,,85,,
PUMPKINS,06007,1997,f,,85,,
RASPBERRIES,06007,1997,t,,1,,
RASPBERRIES,06007,1997,f,,1,,
RICE,06007,1997,t,102558,102558,,
RICE,06007,1997,f,102558,102558,,
SAFFLOWER,06007,1997,t,1233,2926,,
SAFFLOWER,06007,1997,f,1233,2926,,
SQUASH,06007,1997,t,,119,,
SQUASH,06007,1997,f,,119,,
STRAWBERRIES,06007,1997,t,,42,,
STRAWBERRIES,06007,1997,f,,42,,
SUNFLOWER,06007,1997,t,536,536,,
SUNFLOWER,06007,1997,f,536,536,,
SWEET CORN,06007,1997,f,,11,,
SWEET CORN,06007,1997,t,,11,,
TOMATOES,06007,1997,f,,128,,
"TOMATOES, IN THE OPEN",06007,1997,t,,128,,
