commodity,harvest,yield,price
ALMONDS,t,f,f
APPLES,t,f,f
APRICOTS,t,f,f
AQUATIC PLANTS,t,f,f
"AQUATIC PLANTS, IN THE OPEN",t,f,f
ARTICHOKES,t,f,t
"ARTICHOKES, FRESH MARKET",t,f,f
"ARTICHOKES, PROCESSING",t,f,f
ASPARAGUS,t,f,t
"ASPARAGUS, FRESH MARKET",t,f,t
"ASPARAGUS, PROCESSING",t,f,t
AVOCADOS,t,f,f
BANANAS,t,f,f
BARLEY,t,t,f
BEANS,t,t,t
"BEANS, DRY EDIBLE",t,t,f
"BEANS, DRY EDIBLE, (EXCL LIMA)",t,t,f
"BEANS, DRY EDIBLE, LIMA",t,f,f
"BEANS, GREEN",t,f,f
"BEANS, GREEN, LIMA",t,f,f
"BEANS, GREEN, LIMA, FRESH MARKET",t,f,f
"BEANS, GREEN, LIMA, PROCESSING",t,f,f
"BEANS, SNAP",t,f,t
"BEANS, SNAP, FRESH MARKET",t,f,t
"BEANS, SNAP, PROCESSING",t,f,t
BEDDING PLANT TOTALS,t,f,f
"BEDDING PLANT TOTALS, IN THE OPEN",t,f,f
BEETS,t,f,f
"BEETS, FRESH MARKET",t,f,f
"BEETS, PROCESSING",t,f,f
"BERRIES, OTHER",t,f,f
"BERRIES, OTHER, BERRIES",t,f,f
"BERRIES, OTHER, BERRIES, OTHER",t,f,f
BERRY TOTALS,t,f,f
BLACKBERRIES,t,f,f
"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES",t,f,f
BLUEBERRIES,t,f,f
"BLUEBERRIES, TAME",t,f,f
BOYSENBERRIES,t,f,f
BROCCOLI,t,f,t
"BROCCOLI, FRESH MARKET",t,f,t
"BROCCOLI, PROCESSING",t,f,t
BRUSSELS SPROUTS,t,f,f
"BRUSSELS SPROUTS, FRESH MARKET",t,f,f
"BRUSSELS SPROUTS, PROCESSING",t,f,f
BUCKWHEAT,t,f,f
BULBS & CORMS & RHIZOMES & TUBERS,t,f,f
"BULBS & CORMS & RHIZOMES & TUBERS, DRY",t,f,f
"BULBS & CORMS & RHIZOMES & TUBERS, DRY, IN THE OPEN",t,f,f
CABBAGE,t,f,t
"CABBAGE, CHINESE",t,f,f
"CABBAGE, CHINESE, FRESH MARKET",t,f,f
"CABBAGE, CHINESE, PROCESSING",t,f,f
"CABBAGE, FRESH MARKET",f,f,t
"CABBAGE, HEAD",t,f,f
"CABBAGE, HEAD, FRESH MARKET",t,f,f
"CABBAGE, HEAD, PROCESSING",t,f,f
CAMELINA,t,f,f
CANOLA,t,f,f
CARROTS,t,f,t
"CARROTS, FRESH MARKET",t,f,t
"CARROTS, PROCESSING",t,f,t
CATTLE,f,f,t
"CATTLE, CALVES",f,f,t
"CATTLE, (EXCL CALVES)",f,f,t
CAULIFLOWER,t,f,t
"CAULIFLOWER, FRESH MARKET",t,f,t
"CAULIFLOWER, PROCESSING",t,f,t
CELERY,t,f,t
"CELERY, FRESH MARKET",t,f,f
"CELERY, PROCESSING",t,f,f
CHERRIES,t,f,f
"CHERRIES, SWEET",t,f,f
"CHERRIES, TART",t,f,f
CHESTNUTS,t,f,f
CHICORY,t,f,f
"CHICORY, FRESH MARKET",t,f,f
"CITRUS, OTHER",t,f,f
"CITRUS, OTHER, CITRUS",t,f,f
"CITRUS, OTHER, CITRUS, OTHER",t,f,f
CITRUS TOTALS,t,f,f
CORN,t,t,f
"CORN, GRAIN",t,t,f
"CORN, SILAGE",t,t,f
COTTON,t,t,f
"COTTON, PIMA",t,t,f
"COTTON, UPLAND",t,t,f
CRAMBE,t,f,f
CRANBERRIES,t,f,f
CUCUMBERS,t,f,t
"CUCUMBERS, FRESH MARKET",t,f,t
"CUCUMBERS, PROCESSING",t,f,f
"CUCUMBERS, PROCESSING, PICKLES",t,f,f
CURRANTS,t,f,f
CUT CHRISTMAS TREES,t,f,f
CUT FLOWERS & CUT CULTIVATED GREENS,t,f,f
"CUT FLOWERS & CUT CULTIVATED GREENS, IN THE OPEN",t,f,f
DAIKON,t,f,f
"DAIKON, FRESH MARKET",t,f,f
DATES,t,f,f
DILL,t,f,f
"DILL, OIL",t,f,f
EGGPLANT,t,f,f
"EGGPLANT, FRESH MARKET",t,f,f
"EGGPLANT, PROCESSING",t,f,f
EMMER & SPELT,t,f,f
ESCAROLE & ENDIVE,t,f,f
"ESCAROLE & ENDIVE, FRESH MARKET",t,f,f
"FIELD CROPS, OTHER",t,f,f
"FIELD CROPS, OTHER, FIELD CROPS",t,f,f
"FIELD CROPS, OTHER, FIELD CROPS, OTHER",t,f,f
FIGS,t,f,f
FLAXSEED,t,f,f
"FLORICULTURE, OTHER",t,f,f
"FLORICULTURE, OTHER, FLORICULTURE",t,f,f
"FLORICULTURE, OTHER, FLORICULTURE, OTHER",t,f,f
"FLORICULTURE, OTHER, FLORICULTURE, OTHER, IN THE OPEN",t,f,f
FLORICULTURE TOTALS,t,f,f
"FLORICULTURE TOTALS, IN THE OPEN",t,f,f
