commodity,location,year,unit,price
CATTLE,16,2005,$ / CWT,81.30
"CATTLE, (EXCL CALVES)",16,2005,$ / CWT,81.3
HOGS,16,2005,$ / CWT,48.9
ONIONS,16,2005,$ / CWT,8.00
"ONIONS, DRY",16,2005,$ / CWT,8.00
"ONIONS, DRY, SUMMER",16,2005,$ / CWT,8.00
"ONIONS, DRY, SUMMER, STORAGE",16,2005,$ / CWT,8
SHEEP,16,2005,$ / CWT,73.50
"SHEEP, (EXCL LAMBS)",16,2005,$ / CWT,42
"SHEEP, LAMBS",16,2005,$ / CWT,105
WOOL,16,2005,$ / LB,0.75
CATTLE,30,2005,$ / CWT,104.00
"CATTLE, (EXCL CALVES)",30,2005,$ / CWT,104
HOGS,30,2005,$ / CWT,53.1
SHEEP,30,2005,$ / CWT,83.65
"SHEEP, (EXCL LAMBS)",30,2005,$ / CWT,43.3
"SHEEP, LAMBS",30,2005,$ / CWT,124
WOOL,30,2005,$ / LB,0.98
BEANS,41,2005,$ / TON,188.00
"BEANS, SNAP",41,2005,$ / TON,188.00
"BEANS, SNAP, PROCESSING",41,2005,$ / TON,188
CATTLE,41,2005,$ / CWT,85.90
"CATTLE, (EXCL CALVES)",41,2005,$ / CWT,85.9
GARLIC,41,2005,$ / CWT,22
HOGS,41,2005,$ / CWT,53.2
PEAS,41,2005,$ / TON,172.00
"PEAS, GREEN",41,2005,$ / TON,172.00
"PEAS, GREEN, PROCESSING",41,2005,$ / TON,172
SHEEP,41,2005,$ / CWT,71.10
"SHEEP, (EXCL LAMBS)",41,2005,$ / CWT,41.2
"SHEEP, LAMBS",41,2005,$ / CWT,101
SQUASH,41,2005,$ / CWT,20.5
STRAWBERRIES,41,2005,$ / CWT,54.7
"STRAWBERRIES, FRESH MARKET",41,2005,$ / CWT,118
"STRAWBERRIES, PROCESSING",41,2005,$ / CWT,48
SWEET CORN,41,2005,$ / CWT,21.00
SWEET CORN,41,2005,$ / TON,79.20
"SWEET CORN, FRESH MARKET",41,2005,$ / CWT,21
"SWEET CORN, PROCESSING",41,2005,$ / TON,79.2
WOOL,41,2005,$ / LB,0.64
ASPARAGUS,53,2005,$ / CWT,51.8
ASPARAGUS,53,2005,$ / TON,1120.00
"ASPARAGUS, FRESH MARKET",53,2005,$ / CWT,49
"ASPARAGUS, PROCESSING",53,2005,$ / TON,1120
CARROTS,53,2005,$ / TON,74.00
"CARROTS, PROCESSING",53,2005,$ / TON,74
CATTLE,53,2005,$ / CWT,103.00
"CATTLE, (EXCL CALVES)",53,2005,$ / CWT,103
HOGS,53,2005,$ / CWT,48.9
ONIONS,53,2005,$ / CWT,16.20
"ONIONS, DRY",53,2005,$ / CWT,16.20
"ONIONS, DRY, SUMMER",53,2005,$ / CWT,16.20
"ONIONS, DRY, SUMMER, NON-STORAGE",53,2005,$ / CWT,23.6
"ONIONS, DRY, SUMMER, STORAGE",53,2005,$ / CWT,8.8
PEAS,53,2005,$ / TON,193.00
"PEAS, GREEN",53,2005,$ / TON,193.00
"PEAS, GREEN, PROCESSING",53,2005,$ / TON,193
SHEEP,53,2005,$ / CWT,74.00
"SHEEP, (EXCL LAMBS)",53,2005,$ / CWT,40
"SHEEP, LAMBS",53,2005,$ / CWT,108
STRAWBERRIES,53,2005,$ / CWT,47.1
"STRAWBERRIES, FRESH MARKET",53,2005,$ / CWT,113
"STRAWBERRIES, PROCESSING",53,2005,$ / CWT,36
SWEET CORN,53,2005,$ / CWT,26.20
SWEET CORN,53,2005,$ / TON,69.00
"SWEET CORN, FRESH MARKET",53,2005,$ / CWT,26.2
"SWEET CORN, PROCESSING",53,2005,$ / TON,69
WOOL,53,2005,$ / LB,0.68
CATTLE,16,2006,$ / CWT,78.20
"CATTLE, (EXCL CALVES)",16,2006,$ / CWT,78.2
HOGS,16,2006,$ / CWT,46.5
ONIONS,16,2006,$ / CWT,17.10
"ONIONS, DRY",16,2006,$ / CWT,17.10
"ONIONS, DRY, SUMMER",16,2006,$ / CWT,17.10
"ONIONS, DRY, SUMMER, STORAGE",16,2006,$ / CWT,17.1
SHEEP,16,2006,$ / CWT,56.70
"SHEEP, (EXCL LAMBS)",16,2006,$ / CWT,27.6
"SHEEP, LAMBS",16,2006,$ / CWT,85.8
WOOL,16,2006,$ / LB,0.71
CATTLE,30,2006,$ / CWT,93.80
"CATTLE, (EXCL CALVES)",30,2006,$ / CWT,93.8
HOGS,30,2006,$ / CWT,47.9
SHEEP,30,2006,$ / CWT,63.85
"SHEEP, (EXCL LAMBS)",30,2006,$ / CWT,25.7
"SHEEP, LAMBS",30,2006,$ / CWT,102
WOOL,30,2006,$ / LB,0.91
BEANS,41,2006,$ / TON,175.00
"BEANS, SNAP",41,2006,$ / TON,175.00
"BEANS, SNAP, PROCESSING",41,2006,$ / TON,175
