commodity,location,year,unit,irrigated,non_irrigated,unspecified
BARLEY,16,2005,BU / ACRE,1021,503,87
BEANS,16,2005,LB / ACRE,2291.67,,2037.78
CORN,16,2005,BU / ACRE,,,170.00
CORN,16,2005,TONS / ACRE,,,265.00
HAY,16,2005,TONS / ACRE,49.00,155.00,381
HAY & HAYLAGE,16,2005,"TONS / ACRE, DRY BASIS",,,393
HAYLAGE,16,2005,TONS / ACRE,,,983
HOPS,16,2005,LB / ACRE,,,1640
LENTILS,16,2005,LB / ACRE,,,900
MINT,16,2005,LB / ACRE,,,112.50
OATS,16,2005,BU / ACRE,,,64
ONIONS,16,2005,CWT / ACRE,,,640.00
PEAS,16,2005,LB / ACRE,,,1200.00
POTATOES,16,2005,CWT / ACRE,,,366
SUGARBEETS,16,2005,TONS / ACRE,,,271
WHEAT,16,2005,BU / ACRE,1058,632,838
WHEAT,16,2005,BU / NET PLANTED ACRE,1012,601,799
BARLEY,16001,2005,BU / ACRE,,,967
BEANS,16001,2005,LB / ACRE,1930.00,,1930.00
CORN,16001,2005,BU / ACRE,,,1611.00
CORN,16001,2005,TONS / ACRE,,,271.00
HAY,16001,2005,TONS / ACRE,534.00,143.00,503.00
OATS,16001,2005,BU / ACRE,,,70
POTATOES,16001,2005,CWT / ACRE,,,440
SUGARBEETS,16001,2005,TONS / ACRE,,,30
WHEAT,16001,2005,BU / ACRE,,,1051
WHEAT,16001,2005,BU / NET PLANTED ACRE,,,1004
HAY,16003,2005,TONS / ACRE,342.00,16.00,254.00
BARLEY,16005,2005,BU / ACRE,786,371,63
HAY,16005,2005,TONS / ACRE,411.00,173.00,328.00
OATS,16005,2005,BU / ACRE,,,70
POTATOES,16005,2005,CWT / ACRE,,,377
WHEAT,16005,2005,BU / ACRE,1025,332,579
WHEAT,16005,2005,BU / NET PLANTED ACRE,954,306,535
BARLEY,16007,2005,BU / ACRE,679,28,589
HAY,16007,2005,TONS / ACRE,324.00,106.00,233.00
OATS,16007,2005,BU / ACRE,,,433
WHEAT,16007,2005,BU / ACRE,395,187,236
WHEAT,16007,2005,BU / NET PLANTED ACRE,341,184,225
BARLEY,16009,2005,BU / ACRE,,708,708
OATS,16009,2005,BU / ACRE,,,60
WHEAT,16009,2005,BU / ACRE,,759,759
WHEAT,16009,2005,BU / NET PLANTED ACRE,,723,723
BARLEY,16011,2005,BU / ACRE,1064,20,1039
HAY,16011,2005,TONS / ACRE,475.00,96.00,459.00
OATS,16011,2005,BU / ACRE,,,517
POTATOES,16011,2005,CWT / ACRE,,,346
SUGARBEETS,16011,2005,TONS / ACRE,,,288
WHEAT,16011,2005,BU / ACRE,1115,377,1102
WHEAT,16011,2005,BU / NET PLANTED ACRE,1069,346,1055
BARLEY,16013,2005,BU / ACRE,1182,28,1107
HAY,16013,2005,TONS / ACRE,414.00,239.00,392.00
OATS,16013,2005,BU / ACRE,,,867
POTATOES,16013,2005,CWT / ACRE,,,375
HAY,16015,2005,TONS / ACRE,311.00,1.00,236.00
HAY,16017,2005,TONS / ACRE,,,194.00
OATS,16017,2005,BU / ACRE,,,55
BARLEY,16019,2005,BU / ACRE,1058,504,1001
CORN,16019,2005,BU / ACRE,,,1417.00
CORN,16019,2005,TONS / ACRE,,,248.00
HAY,16019,2005,TONS / ACRE,461.00,126.00,377.00
OATS,16019,2005,BU / ACRE,,,75
POTATOES,16019,2005,CWT / ACRE,,,310
WHEAT,16019,2005,BU / ACRE,932,38,659
WHEAT,16019,2005,BU / NET PLANTED ACRE,876,358,62
BARLEY,16021,2005,BU / ACRE,,908,908
HAY,16021,2005,TONS / ACRE,,,275.00
OATS,16021,2005,BU / ACRE,,,80
WHEAT,16021,2005,BU / ACRE,,783,783
WHEAT,16021,2005,BU / NET PLANTED ACRE,,756,756
BARLEY,16023,2005,BU / ACRE,868,,868
HAY,16023,2005,TONS / ACRE,,,385.00
OATS,16023,2005,BU / ACRE,,,783
POTATOES,16023,2005,CWT / ACRE,,,243
WHEAT,16023,2005,BU / ACRE,864,,864
WHEAT,16023,2005,BU / NET PLANTED ACRE,805,,805
BARLEY,16025,2005,BU / ACRE,524,243,285
HAY,16025,2005,TONS / ACRE,273.00,99.00,134.00
OATS,16025,2005,BU / ACRE,,,425
BARLEY,16027,2005,BU / ACRE,1067,,1067
BEANS,16027,2005,LB / ACRE,2305.00,,2305.00
CORN,16027,2005,BU / ACRE,,,1894.00
CORN,16027,2005,TONS / ACRE,,,299.00
HAY,16027,2005,TONS / ACRE,6.00,15.00,594.00
OATS,16027,2005,BU / ACRE,,,93
POTATOES,16027,2005,CWT / ACRE,,,489
SUGARBEETS,16027,2005,TONS / ACRE,,,299
WHEAT,16027,2005,BU / ACRE,,,1176
WHEAT,16027,2005,BU / NET PLANTED ACRE,,,1126
BARLEY,16029,2005,BU / ACRE,869,565,653
HAY,16029,2005,TONS / ACRE,336.00,154.00,276.00
OATS,16029,2005,BU / ACRE,,,70
POTATOES,16029,2005,CWT / ACRE,,,274
WHEAT,16029,2005,BU / ACRE,917,508,692
WHEAT,16029,2005,BU / NET PLANTED ACRE,879,477,656
BARLEY,16031,2005,BU / ACRE,1196,33,1141
BEANS,16031,2005,LB / ACRE,2480.00,,2480.00
CORN,16031,2005,BU / ACRE,,,1667.00
CORN,16031,2005,TONS / ACRE,,,266.00
HAY,16031,2005,TONS / ACRE,513.00,1.00,507.00
OATS,16031,2005,BU / ACRE,,,92
POTATOES,16031,2005,CWT / ACRE,,,405
SUGARBEETS,16031,2005,TONS / ACRE,,,268
WHEAT,16031,2005,BU / ACRE,1116,425,1005
WHEAT,16031,2005,BU / NET PLANTED ACRE,108,402,969
BARLEY,16033,2005,BU / ACRE,,,87
HAY,16033,2005,TONS / ACRE,473.00,174.00,444.00
OATS,16033,2005,BU / ACRE,,,50
WHEAT,16033,2005,BU / ACRE,889,,889
WHEAT,16033,2005,BU / NET PLANTED ACRE,833,,833
BARLEY,16035,2005,BU / ACRE,,461,461
BEANS,16035,2005,LB / ACRE,,,790.00
HAY,16035,2005,TONS / ACRE,,177.00,177.00
OATS,16035,2005,BU / ACRE,,,30
WHEAT,16035,2005,BU / ACRE,,59,59
