fips,adc,state,agdistrict,county
16075,16ag70,IDAHO,SOUTHWEST,PAYETTE
53005,53ag20,WASHINGTON,CENTRAL,BENTON
06025,06ag80,CALIFORNIA,SOUTHERN CALIFORNIA,IMPERIAL
16011,16ag90,IDAHO,EAST,BINGHAM
06035,06ag30,CALIFORNIA,NORTHEAST,LASSEN
41053,41ag10,OREGON,NORTHWEST,POLK
41059,41ag30,OREGON,NORTHEAST,UMATILLA
30057,30ag70,MONTANA,SOUTHWEST,MADISON
53065,53ag30,WASHINGTON,NORTHEAST,STEVENS
06077,06ag51,CALIFORNIA,SAN JOAQUIN VALLEY,SAN JOAQUIN
53011,53ag10,WASHINGTON,WESTERN,CLARK
06059,06ag80,CALIFORNIA,SOUTHERN CALIFORNIA,ORANGE
06093,06ag20,CALIFORNIA,SISKIYOU-SHASTA,SISKIYOU
06085,06ag40,CALIFORNIA,CENTRAL COAST,SANTA CLARA
41023,41ag80,OREGON,SOUTHEAST,GRANT
53031,53ag10,WASHINGTON,WESTERN,JEFFERSON
30095,30ag80,MONTANA,SOUTH CENTRAL,STILLWATER
30105,30ag30,MONTANA,NORTHEAST,VALLEY
16063,16ag80,IDAHO,SOUTH CENTRAL,LINCOLN
06037,06ag80,CALIFORNIA,SOUTHERN CALIFORNIA,LOS ANGELES
53039,53ag20,WASHINGTON,CENTRAL,KLICKITAT
06051,06ag60,CALIFORNIA,SIERRA MOUNTAINS,MONO
16055,16ag10,IDAHO,NORTH,KOOTENAI
41049,41ag20,OREGON,NORTH CENTRAL,MORROW
16083,16ag80,IDAHO,SOUTH CENTRAL,TWIN FALLS
30067,30ag80,MONTANA,SOUTH CENTRAL,PARK
06049,06ag30,CALIFORNIA,NORTHEAST,MODOC
06081,06ag40,CALIFORNIA,CENTRAL COAST,SAN MATEO
16015,16ag70,IDAHO,SOUTHWEST,BOISE
30047,30ag10,MONTANA,NORTHWEST,LAKE
30065,30ag50,MONTANA,CENTRAL,MUSSELSHELL
16037,16ag90,IDAHO,EAST,CUSTER
30097,30ag80,MONTANA,SOUTH CENTRAL,SWEET GRASS
30023,30ag10,MONTANA,NORTHWEST,DEER LODGE
30061,30ag10,MONTANA,NORTHWEST,MINERAL
41067,41ag10,OREGON,NORTHWEST,WASHINGTON
30091,30ag30,MONTANA,NORTHEAST,SHERIDAN
30017,30ag90,MONTANA,SOUTHEAST,CUSTER
53037,53ag20,WASHINGTON,CENTRAL,KITTITAS
16071,16ag90,IDAHO,EAST,ONEIDA
30025,30ag90,MONTANA,SOUTHEAST,FALLON
16057,16ag10,IDAHO,NORTH,LATAH
30035,30ag20,MONTANA,NORTH CENTRAL,GLACIER
41071,41ag10,OREGON,NORTHWEST,YAMHILL
53049,53ag10,WASHINGTON,WESTERN,PACIFIC
30093,30ag70,MONTANA,SOUTHWEST,SILVER BOW
53003,53ag90,WASHINGTON,SOUTHEAST,ASOTIN
41031,41ag80,OREGON,SOUTHEAST,JEFFERSON
30041,30ag20,MONTANA,NORTH CENTRAL,HILL
16001,16ag70,IDAHO,SOUTHWEST,ADA
41041,41ag10,OREGON,NORTHWEST,LINCOLN
06067,06ag50,CALIFORNIA,SACRAMENTO VALLEY,SACRAMENTO
16059,16ag90,IDAHO,EAST,LEMHI
30099,30ag20,MONTANA,NORTH CENTRAL,TETON
16073,16ag70,IDAHO,SOUTHWEST,OWYHEE
30015,30ag20,MONTANA,NORTH CENTRAL,CHOUTEAU
06057,06ag60,CALIFORNIA,SIERRA MOUNTAINS,NEVADA
53043,53ag50,WASHINGTON,EAST CENTRAL,LINCOLN
41003,41ag10,OREGON,NORTHWEST,BENTON
41057,41ag10,OREGON,NORTHWEST,TILLAMOOK
06073,06ag80,CALIFORNIA,SOUTHERN CALIFORNIA,SAN DIEGO
16027,16ag70,IDAHO,SOUTHWEST,CANYON
53071,53ag90,WASHINGTON,SOUTHEAST,WALLA WALLA
16069,16ag10,IDAHO,NORTH,NEZ PERCE
30019,30ag30,MONTANA,NORTHEAST,DANIELS
53051,53ag30,WASHINGTON,NORTHEAST,PEND OREILLE
06003,06ag60,CALIFORNIA,SIERRA MOUNTAINS,ALPINE
06099,06ag51,CALIFORNIA,SAN JOAQUIN VALLEY,STANISLAUS
16053,16ag80,IDAHO,SOUTH CENTRAL,JEROME
53001,53ag50,WASHINGTON,EAST CENTRAL,ADAMS
30005,30ag20,MONTANA,NORTH CENTRAL,BLAINE
53035,53ag10,WASHINGTON,WESTERN,KITSAP
16005,16ag90,IDAHO,EAST,BANNOCK
41045,41ag80,OREGON,SOUTHEAST,MALHEUR
41007,41ag10,OREGON,NORTHWEST,CLATSOP
16021,16ag10,IDAHO,NORTH,BOUNDARY
41017,41ag80,OREGON,SOUTHEAST,DESCHUTES
30107,30ag50,MONTANA,CENTRAL,WHEATLAND
41043,41ag10,OREGON,NORTHWEST,LINN
30111,30ag80,MONTANA,SOUTH CENTRAL,YELLOWSTONE
53057,53ag10,WASHINGTON,WESTERN,SKAGIT
16031,16ag80,IDAHO,SOUTH CENTRAL,CASSIA
