location,year,irrigated,non_irrigated,pasture,value,dataitem
06,2007,t,f,f,340,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06,2007,f,f,t,14,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06,2008,f,f,f,290,"RENT, CASH, CROPLAND - EXPENSE, MEASURED IN $ / ACRE"
06,2008,t,f,f,360,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06,2008,f,t,f,59,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06,2008,f,f,t,15,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06,2009,f,f,f,274,"RENT, CASH, CROPLAND - EXPENSE, MEASURED IN $ / ACRE"
06,2009,t,f,f,350,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06,2009,f,t,f,56,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06,2009,f,f,t,14,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06,2010,f,f,f,261,"RENT, CASH, CROPLAND - EXPENSE, MEASURED IN $ / ACRE"
06,2010,t,f,f,345,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06,2010,f,t,f,50,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06,2010,f,f,t,13,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06,2011,f,f,f,268,"RENT, CASH, CROPLAND - EXPENSE, MEASURED IN $ / ACRE"
06,2011,t,f,f,335,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06,2011,f,t,f,50,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06,2011,f,f,t,12.5,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06,2012,f,f,f,267,"RENT, CASH, CROPLAND - EXPENSE, MEASURED IN $ / ACRE"
06,2012,t,f,f,340,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06,2012,f,t,f,40,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06,2012,f,f,t,11.5,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06,2013,f,f,f,280,"RENT, CASH, CROPLAND - EXPENSE, MEASURED IN $ / ACRE"
06,2013,t,f,f,365,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06,2013,f,t,f,30,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06,2013,f,f,t,12,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06,2014,f,f,f,313,"RENT, CASH, CROPLAND - EXPENSE, MEASURED IN $ / ACRE"
06,2014,t,f,f,405,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06,2014,f,t,f,32,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06,2014,f,f,t,13.5,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06001,2009,f,t,f,33,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06001,2009,f,f,t,18,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06001,2010,t,f,f,233,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06001,2010,f,t,f,35.5,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06001,2010,f,f,t,14,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06001,2011,f,f,t,15.5,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06001,2012,t,f,f,215,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06001,2012,f,t,f,20,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06001,2012,f,f,t,16,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06001,2013,t,f,f,228,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06001,2013,f,t,f,17,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06001,2013,f,f,t,14.5,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06001,2014,f,t,f,17,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06001,2014,f,f,t,17,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06005,2009,f,f,t,18,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06005,2010,f,t,f,30.5,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06005,2011,t,f,f,109,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06005,2011,f,t,f,29.5,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06005,2011,f,f,t,20,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06005,2012,f,f,t,17,"RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE"
06005,2013,t,f,f,163,"RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
06005,2013,f,t,f,19,"RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE"
