"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (GRAVITY)","24",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE)","28",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","26",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, NON-IRRIGATED - YIELD, MEASURED IN CWT / ACRE","IRRIGATION STATUS","IRRIGATION STATUS: (ANY ON OPERATION)","21",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (GRAVITY)","198",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE)","218",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","199",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CORN","CORN, SILAGE, IRRIGATED - YIELD, MEASURED IN TONS / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (GRAVITY)","28",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CORN","CORN, SILAGE, IRRIGATED - YIELD, MEASURED IN TONS / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE)","27",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CORN","CORN, SILAGE, IRRIGATED - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","28",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","COTTON","COTTON, IRRIGATED - YIELD, MEASURED IN LB / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (GRAVITY)","1,873",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","COTTON","COTTON, IRRIGATED - YIELD, MEASURED IN LB / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE, LOW FLOW (DRIP OR MICRO SPRINKLER))","1,757",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","COTTON","COTTON, IRRIGATED - YIELD, MEASURED IN LB / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE, SPRINKLER)","1,754",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","COTTON","COTTON, IRRIGATED - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,841",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE, (EXCL ALFALFA), IRRIGATED - YIELD, MEASURED IN TONS / ACRE, DRY BASIS","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (GRAVITY)","7.2",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE, (EXCL ALFALFA), IRRIGATED - YIELD, MEASURED IN TONS / ACRE, DRY BASIS","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE)","5.1",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE, (EXCL ALFALFA), IRRIGATED - YIELD, MEASURED IN TONS / ACRE, DRY BASIS","TOTAL","NOT SPECIFIED","6.8",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE, (EXCL ALFALFA), NON-IRRIGATED - YIELD, MEASURED IN TONS / ACRE, DRY BASIS","IRRIGATION STATUS","IRRIGATION STATUS: (ANY ON OPERATION)","2.8",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE, ALFALFA, IRRIGATED - YIELD, MEASURED IN TONS / ACRE, DRY BASIS","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (GRAVITY)","6.8",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE, ALFALFA, IRRIGATED - YIELD, MEASURED IN TONS / ACRE, DRY BASIS","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE)","6.3",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE, ALFALFA, IRRIGATED - YIELD, MEASURED IN TONS / ACRE, DRY BASIS","TOTAL","NOT SPECIFIED","6.7",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE, ALFALFA, NON-IRRIGATED - YIELD, MEASURED IN TONS / ACRE, DRY BASIS","IRRIGATION STATUS","IRRIGATION STATUS: (ANY ON OPERATION)","1.7",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","LETTUCE","LETTUCE, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (GRAVITY)","513",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","LETTUCE","LETTUCE, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE, LOW FLOW (DRIP OR MICRO SPRINKLER))","440",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","LETTUCE","LETTUCE, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE, SPRINKLER)","478",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","LETTUCE","LETTUCE, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","457",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","POTATOES","POTATOES, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (GRAVITY)","467",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","POTATOES","POTATOES, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE, LOW FLOW (DRIP OR MICRO SPRINKLER))","351",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","POTATOES","POTATOES, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE, SPRINKLER)","461",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","POTATOES","POTATOES, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","455",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (GRAVITY)","88",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","88",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","SORGHUM","SORGHUM, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (GRAVITY)","84",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","SORGHUM","SORGHUM, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE)","77",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","SORGHUM","SORGHUM, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","83",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","SWEET CORN","SWEET CORN, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (GRAVITY)","413",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","SWEET CORN","SWEET CORN, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE, LOW FLOW (DRIP OR MICRO SPRINKLER))","411",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","SWEET CORN","SWEET CORN, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE, SPRINKLER)","412",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","SWEET CORN","SWEET CORN, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","412",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","SWEET CORN","SWEET CORN, NON-IRRIGATED - YIELD, MEASURED IN CWT / ACRE","IRRIGATION STATUS","IRRIGATION STATUS: (ANY ON OPERATION)"," (D)",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (GRAVITY)","848",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE, LOW FLOW (DRIP OR MICRO SPRINKLER))","904",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE, SPRINKLER)","791",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","882",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, NON-IRRIGATED - YIELD, MEASURED IN CWT / ACRE","IRRIGATION STATUS","IRRIGATION STATUS: (ANY ON OPERATION)","23",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, IRRIGATED - YIELD, MEASURED IN BU / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (GRAVITY)","105",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, IRRIGATED - YIELD, MEASURED IN BU / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE)","110",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","107",""
"CENSUS","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE","IRRIGATION STATUS","IRRIGATION STATUS: (ANY ON OPERATION)","34",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (GRAVITY)","26",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE)","26",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","26",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, NON-IRRIGATED - YIELD, MEASURED IN CWT / ACRE","IRRIGATION STATUS","IRRIGATION STATUS: (ANY ON OPERATION)","16",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (GRAVITY)","188",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE)","187",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","188",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","CORN","CORN, SILAGE, IRRIGATED - YIELD, MEASURED IN TONS / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (GRAVITY)","27",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","CORN","CORN, SILAGE, IRRIGATED - YIELD, MEASURED IN TONS / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE)","28",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","CORN","CORN, SILAGE, IRRIGATED - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","27",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","CORN","CORN, SILAGE, NON-IRRIGATED - YIELD, MEASURED IN TONS / ACRE","IRRIGATION STATUS","IRRIGATION STATUS: (ANY ON OPERATION)","17",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE, (EXCL ALFALFA), IRRIGATED - YIELD, MEASURED IN TONS / ACRE, DRY BASIS","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (GRAVITY)","2.9",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE, (EXCL ALFALFA), IRRIGATED - YIELD, MEASURED IN TONS / ACRE, DRY BASIS","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE)","3.2",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE, (EXCL ALFALFA), IRRIGATED - YIELD, MEASURED IN TONS / ACRE, DRY BASIS","TOTAL","NOT SPECIFIED","3",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE, (EXCL ALFALFA), NON-IRRIGATED - YIELD, MEASURED IN TONS / ACRE, DRY BASIS","IRRIGATION STATUS","IRRIGATION STATUS: (ANY ON OPERATION)","1.2",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE, ALFALFA, IRRIGATED - YIELD, MEASURED IN TONS / ACRE, DRY BASIS","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (GRAVITY)","5.4",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE, ALFALFA, IRRIGATED - YIELD, MEASURED IN TONS / ACRE, DRY BASIS","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE)","5.2",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE, ALFALFA, IRRIGATED - YIELD, MEASURED IN TONS / ACRE, DRY BASIS","TOTAL","NOT SPECIFIED","5.3",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE, ALFALFA, NON-IRRIGATED - YIELD, MEASURED IN TONS / ACRE, DRY BASIS","IRRIGATION STATUS","IRRIGATION STATUS: (ANY ON OPERATION)","1.1",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","POTATOES","POTATOES, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (GRAVITY)","280",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","POTATOES","POTATOES, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE, LOW FLOW (DRIP OR MICRO SPRINKLER))","409",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","POTATOES","POTATOES, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE, SPRINKLER)","403",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","POTATOES","POTATOES, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","402",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","SORGHUM","SORGHUM, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (GRAVITY)"," (D)",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","SORGHUM","SORGHUM, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE)"," (D)",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","SORGHUM","SORGHUM, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","156",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","SOYBEANS","SOYBEANS, IRRIGATED - YIELD, MEASURED IN BU / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE)","44",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","SOYBEANS","SOYBEANS, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","44",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","SWEET CORN","SWEET CORN, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (GRAVITY)","173",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","SWEET CORN","SWEET CORN, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE, SPRINKLER)","205",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","SWEET CORN","SWEET CORN, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","192",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (GRAVITY)","300",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE, SPRINKLER)","287",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","293",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","WHEAT","WHEAT, IRRIGATED - YIELD, MEASURED IN BU / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (GRAVITY)","117",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","WHEAT","WHEAT, IRRIGATED - YIELD, MEASURED IN BU / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE)","103",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","WHEAT","WHEAT, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","104",""
"CENSUS","2013","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","WHEAT","WHEAT, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE","IRRIGATION STATUS","IRRIGATION STATUS: (ANY ON OPERATION)","25",""
"CENSUS","2013","YEAR","","STATE","MONTANA","30","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (GRAVITY)"," (D)",""
"CENSUS","2013","YEAR","","STATE","MONTANA","30","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE)"," (D)",""
"CENSUS","2013","YEAR","","STATE","MONTANA","30","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, IRRIGATED - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","26",""
"CENSUS","2013","YEAR","","STATE","MONTANA","30","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (GRAVITY)","155",""
"CENSUS","2013","YEAR","","STATE","MONTANA","30","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE)","157",""
"CENSUS","2013","YEAR","","STATE","MONTANA","30","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","156",""
"CENSUS","2013","YEAR","","STATE","MONTANA","30","","","","","","","00000000","","CORN","CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE","IRRIGATION STATUS","IRRIGATION STATUS: (ANY ON OPERATION)","67",""
"CENSUS","2013","YEAR","","STATE","MONTANA","30","","","","","","","00000000","","CORN","CORN, SILAGE, IRRIGATED - YIELD, MEASURED IN TONS / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (GRAVITY)","27",""
"CENSUS","2013","YEAR","","STATE","MONTANA","30","","","","","","","00000000","","CORN","CORN, SILAGE, IRRIGATED - YIELD, MEASURED IN TONS / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE)","19",""
"CENSUS","2013","YEAR","","STATE","MONTANA","30","","","","","","","00000000","","CORN","CORN, SILAGE, IRRIGATED - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","23",""
