location,commodity,acres,yield,price,unit,price_unit
16067,POTATOES,31547,421.00,7.20,CWT / ACRE,$ / CWT
41017,"HAY, ALFALFA, NON-IRRIGATED",114,1.78,190.00,TONS / ACRE,$ / TON
16073,"HAYLAGE, (EXCL ALFALFA), NON-IRRIGATED",0,3.17,27.300,TONS / ACRE,$ / TON
41005,"SUGARBEETS, IRRIGATED",155,32.70,48.40,TONS / ACRE,$ / TON
16059,BARLEY,762,85.45,5.33,BU / ACRE,$ / BU
16083,"HAYLAGE, (EXCL ALFALFA)",1569,8.75,27.300,TONS / ACRE,$ / TON
41031,BARLEY,170,89.90,4.21,BU / ACRE,$ / BU
30063,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",440,0.87,109.38,TONS / ACRE,$ / TON
06095,"CORN, GRAIN, IRRIGATED",9005,186.07,5.19,BU / ACRE,$ / BU
30047,"CORN, GRAIN, IRRIGATED",1100,124.22,5.06,BU / ACRE,$ / BU
41071,"SUGARBEETS, IRRIGATED",168,32.70,48.40,TONS / ACRE,$ / TON
06115,"HAY, ALFALFA",600,4.81,189.00,TONS / ACRE,$ / TON
06099,POTATOES,22,408.50,13.44,CWT / ACRE,$ / CWT
30053,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",534,1.55,109.38,TONS / ACRE,$ / TON
16039,"SUGARBEETS, NON-IRRIGATED",0,34.90,48.40,TONS / ACRE,$ / TON
06047,"HAY, ALFALFA, IRRIGATED",61716,7.25,189.00,TONS / ACRE,$ / TON
06013,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",1146,2.81,179.50,TONS / ACRE,$ / TON
06049,"BARLEY, IRRIGATED",2348,121.35,5.09,BU / ACRE,$ / BU
16085,"OATS, IRRIGATED",120,100.00,2.80,BU / ACRE,$ / BU
41019,"BEANS, DRY EDIBLE",3,2231.25,0.358,LB / ACRE,$ / LB
16031,"BEANS, DRY EDIBLE, IRRIGATED",8725,2405.00,0.326,LB / ACRE,$ / LB
30099,"HAYLAGE, (EXCL ALFALFA), NON-IRRIGATED",0,1.22,20.676,TONS / ACRE,$ / TON
30049,"HAY, ALFALFA, NON-IRRIGATED",4477,1.18,110.50,TONS / ACRE,$ / TON
41053,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",5436,2.03,189.38,TONS / ACRE,$ / TON
06055,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",20,0.74,179.50,TONS / ACRE,$ / TON
16057,POTATOES,3,395.00,7.20,CWT / ACRE,$ / CWT
53055,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)",1256,2.04,190.25,TONS / ACRE,$ / TON
41047,"HAYLAGE, ALFALFA, NON-IRRIGATED",318,6.08,38.000,TONS / ACRE,$ / TON
16025,"HAY, ALFALFA, IRRIGATED",10101,2.05,174.38,TONS / ACRE,$ / TON
53007,"CORN, GRAIN, NON-IRRIGATED",0,227.18,5.38,BU / ACRE,$ / BU
41029,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",9368,2.30,189.38,TONS / ACRE,$ / TON
06097,"BEANS, DRY EDIBLE, IRRIGATED",9,2333.00,0.549,LB / ACRE,$ / LB
53015,"HAYLAGE, (EXCL ALFALFA)",490,6.96,40.426,TONS / ACRE,$ / TON
30099,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",2157,1.24,109.38,TONS / ACRE,$ / TON
16087,"BARLEY, IRRIGATED",439,89.75,5.33,BU / ACRE,$ / BU
53043,"BEANS, DRY EDIBLE, IRRIGATED",1558,1780.00,0.346,LB / ACRE,$ / LB
06007,"BEANS, DRY EDIBLE",745,2222.00,0.549,LB / ACRE,$ / LB
16031,"CORN, GRAIN, IRRIGATED",1119,191.15,5.24,BU / ACRE,$ / BU
41029,"CORN, GRAIN, IRRIGATED",7,223.35,5.30,BU / ACRE,$ / BU
53001,"BEANS, DRY EDIBLE, IRRIGATED",7882,2700.00,0.346,LB / ACRE,$ / LB
30061,"HAYLAGE, (EXCL ALFALFA)",102,4.04,20.676,TONS / ACRE,$ / TON
16013,"BARLEY, NON-IRRIGATED",1562,23.30,5.33,BU / ACRE,$ / BU
06051,"HAY, ALFALFA, NON-IRRIGATED",0,2.34,189.00,TONS / ACRE,$ / TON
53009,"HAY, ALFALFA, IRRIGATED",1329,3.30,186.25,TONS / ACRE,$ / TON
06019,"OATS, NON-IRRIGATED",345,73.44,3.57,BU / ACRE,$ / BU
06093,POTATOES,6217,408.50,13.44,CWT / ACRE,$ / CWT
16023,"HAY, ALFALFA",34266,3.98,174.38,TONS / ACRE,$ / TON
41017,"HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED",9260,2.63,189.38,TONS / ACRE,$ / TON
