location,BARLEY,"BARLEY, IRRIGATED","BARLEY, NON-IRRIGATED","BEANS, DRY EDIBLE","BEANS, DRY EDIBLE, IRRIGATED","BEANS, DRY EDIBLE, LIMA","BEANS, DRY EDIBLE, LIMA, IRRIGATED","BEANS, DRY EDIBLE, LIMA, NON-IRRIGATED","BEANS, DRY EDIBLE, NON-IRRIGATED","CORN, GRAIN","CORN, GRAIN, IRRIGATED","CORN, GRAIN, NON-IRRIGATED","CORN, SILAGE","CORN, SILAGE, IRRIGATED","CORN, SILAGE, NON-IRRIGATED","HAY, ALFALFA","HAY, ALFALFA, IRRIGATED","HAY, ALFALFA, NON-IRRIGATED","HAYLAGE, ALFALFA","HAYLAGE, ALFALFA, IRRIGATED","HAYLAGE, ALFALFA, NON-IRRIGATED","HAYLAGE, (EXCL ALFALFA)","HAYLAGE, (EXCL ALFALFA), IRRIGATED","HAYLAGE, (EXCL ALFALFA), NON-IRRIGATED","HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)","HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED","HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",LENTILS,"LENTILS, IRRIGATED","LENTILS, NON-IRRIGATED",OATS,"OATS, IRRIGATED","OATS, NON-IRRIGATED",POTATOES,"SUGARBEETS, IRRIGATED","SUGARBEETS, NON-IRRIGATED","WHEAT, WINTER","WHEAT, WINTER, IRRIGATED","WHEAT, WINTER, NON-IRRIGATED"
06001,,,,,,,,,,,,,,,,,,,,,,,,,179.50,,,,,,,,,,,,,,
06005,,,,,,,,,,,,,,,,,189.00,189.00,,,,,,,179.50,,,,,,,,,13.44,,,,,
06007,,,,0.55,,,,,,,5.19,5.19,5.19,,,,189.00,189.00,,,,,29.63,29.63,,179.50,179.50,,,,,,,13.44,,,,5.77,5.77
06009,,,,,,,,,,,,,,,,189.00,,,,,,,,,179.50,,,,,,,,,,,,,,
06011,,,,,0.55,,,,0.55,,5.19,5.19,,,,,189.00,189.00,,,,,,,179.50,,,,,,,,,,,,5.77,,
06013,,,,,,,,,,,5.19,5.19,5.19,,,,189.00,189.00,,,,,,,,179.50,179.50,,,,,,,,,,,,
06017,,,,,0.55,,,,0.55,,5.19,5.19,,,,,,,,,,,,,,,,,,,,,,13.44,,,,,
06019,,5.09,5.09,,0.55,,,,0.55,,5.19,5.19,,5.19,5.19,,189.00,189.00,37.80,,,29.63,,,179.50,,,,,,,3.57,3.57,13.44,,,5.77,,
06021,5.09,,,,0.55,,,,0.55,,5.19,5.19,5.19,,,,189.00,189.00,,,,,29.63,29.63,,179.50,179.50,,,,3.57,,,,,,,5.77,5.77
06023,,,,,0.55,,,,0.55,,5.19,5.19,5.19,,,,189.00,189.00,,37.80,37.80,,29.63,29.63,,179.50,179.50,,,,,,,13.44,,,,,
06033,,,,,,,,,,,,,,5.19,5.19,189.00,,,,,,,,,,179.50,179.50,,,,,,,13.44,,,,,
06035,,,,,,,,,,,,,,,,,189.00,189.00,,37.80,37.80,,,,,179.50,179.50,,,,,,,,,,5.77,,
06039,5.09,,,,0.55,,,,0.55,,5.19,5.19,5.19,,,,189.00,189.00,37.80,,,29.63,,,,179.50,179.50,,,,,3.57,3.57,,,,,5.77,5.77
06041,,,,,,,,,,,,,,,,,,,,,,,29.63,29.63,,,,,,,,,,13.44,,,,,
06045,,,,,,,,,,,,,,,,,189.00,189.00,,,,,29.63,29.63,,179.50,179.50,,,,,,,13.44,,,,,
06047,5.09,,,,0.55,,0.55,0.55,0.55,,5.19,5.19,,5.19,5.19,,189.00,189.00,,37.80,37.80,,29.63,29.63,179.50,,,,,,,3.57,3.57,13.44,,,,5.77,5.77
06049,,5.09,5.09,,,,,,,,,,,,,,189.00,189.00,,,,,,,,179.50,179.50,,,,,,,,,,,5.77,5.77
06051,,,,,,,,,,,,,,,,,189.00,189.00,,,,,,,,,,,,,,,,,,,,,
06055,,,,,,,,,,,5.19,5.19,,,,,,,,,,,,,,179.50,179.50,,,,,,,13.44,,,,,
06057,,,,,0.55,,,,0.55,,5.19,5.19,,,,,,,,,,,29.63,29.63,,179.50,179.50,,,,,,,13.44,,,,,
06061,,,,,,,,,,,,,,,,,,,,,,,,,,179.50,179.50,,,,,,,13.44,,,,,
06063,,,,,,,,,,,,,,,,,189.00,189.00,,,,,,,,179.50,179.50,,,,,,,13.44,,,,,
06067,5.09,,,,,,,,,,5.19,5.19,,5.19,5.19,,189.00,189.00,37.80,,,29.63,,,,179.50,179.50,,,,,,,13.44,,,,,
06077,,5.09,5.09,,0.55,,0.55,0.55,0.55,,5.19,5.19,,5.19,5.19,,189.00,189.00,,37.80,37.80,,29.63,29.63,,179.50,179.50,,,,,3.57,3.57,13.44,,,,5.77,5.77
06081,,,,,,,,,,,,,,5.19,5.19,,,,,,,,,,,179.50,179.50,,,,3.57,,,13.44,,,,,
06089,,,,,,,,,,,5.19,5.19,,,,,189.00,189.00,,37.80,37.80,29.63,,,,179.50,179.50,,,,,,,13.44,,,,,
06091,,,,,,,,,,,,,,,,189.00,,,,,,,,,,179.50,179.50,,,,,,,,,,,,
06093,,5.09,5.09,,,,,,,,,,,,,,189.00,189.00,,,,,,,,179.50,179.50,,,,,,,13.44,,,,,
06095,5.09,,,,0.55,,,,0.55,,5.19,5.19,,5.19,5.19,,189.00,189.00,,,,,29.63,29.63,,179.50,179.50,,,,,,,13.44,,,,5.77,5.77
06097,,,,,0.55,,0.55,0.55,0.55,,5.19,5.19,5.19,,,189.00,,,,37.80,37.80,,29.63,29.63,,179.50,179.50,,,,3.57,,,13.44,,,5.77,,
06099,5.09,,,,0.55,,0.55,0.55,0.55,,5.19,5.19,,5.19,5.19,,189.00,189.00,37.80,,,29.63,,,,179.50,179.50,,,,,3.57,3.57,13.44,,,,5.77,5.77
06101,,,,,0.55,,0.55,0.55,0.55,,5.19,5.19,,,,,189.00,189.00,,,,,,,,179.50,179.50,,,,3.57,,,13.44,,,,5.77,5.77
06103,,,,,,,,,,,5.19,5.19,,5.19,5.19,,189.00,189.00,,,,,,,,179.50,179.50,,,,3.57,,,,,,,,
06105,,,,,,,,,,,,,,,,,189.00,189.00,,,,,29.63,29.63,,179.50,179.50,,,,,,,13.44,,,,,
06109,,,,,0.55,,,,0.55,,5.19,5.19,,5.19,5.19,,,,,,,,,,,,,,,,,,,13.44,,,,,
06113,,5.09,5.09,0.55,,0.55,,,,,5.19,5.19,,5.19,5.19,,189.00,189.00,,,,29.63,,,,179.50,179.50,,,,,3.57,3.57,13.44,,,,5.77,5.77
06115,,,,,,,,,,,,,5.19,,,189.00,,,,,,,,,,,,,,,3.57,,,,,,5.77,,
16001,,5.33,5.33,,0.33,,,,0.33,,5.24,5.24,,5.24,5.24,174.38,,,,34.88,34.88,,27.30,27.30,,171.63,171.63,,,,,2.80,2.80,7.20,48.40,48.40,,6.29,6.29
16003,,,,,,,,,,,,,,,,,174.38,174.38,,,,,,,,171.63,171.63,,,,,,,,,,6.29,,
16009,5.33,,,,,,,,,,,,,,,,,,,,,27.30,,,171.63,,,0.29,,,,2.80,2.80,7.20,,,6.29,,
16013,,5.33,5.33,,,,,,,,,,,,,,174.38,174.38,,,,,27.30,27.30,,171.63,171.63,,,,,,,,,,,,
16015,,,,,,,,,,,,,,,,,174.38,174.38,,,,,,,171.63,,,,,,,,,,,,,,
16017,,,,,,,,,,,,,,,,,174.38,174.38,34.88,,,27.30,,,,171.63,171.63,,,,2.80,,,7.20,,,,,
16021,5.33,,,,,,,,,,,,,,,174.38,,,,,,,,,171.63,,,,,,2.80,,,7.20,,,6.29,,
16023,,5.33,5.33,,,,,,,,,,,,,174.38,,,,,,,,,,,,,,,,2.80,2.80,7.20,,,,6.29,6.29
16025,,5.33,5.33,,,,,,,,,,,,,,174.38,174.38,,,,,,,171.63,,,,,,,,,,,,,,
16027,,5.33,5.33,,0.33,,,,0.33,,5.24,5.24,,5.24,5.24,174.38,,,,34.88,34.88,,27.30,27.30,,171.63,171.63,,,,,2.80,2.80,7.20,48.40,48.40,,6.29,6.29
16031,5.33,,,,0.33,,,,0.33,,5.24,5.24,,5.24,5.24,,174.38,174.38,,34.88,34.88,,27.30,27.30,171.63,,,,,,2.80,,,,48.40,48.40,,6.29,6.29
16035,5.33,,,,,,,,,,,,,,,174.38,,,,,,27.30,,,171.63,,,,,,,,,,,,6.29,,
16037,,5.33,5.33,,,,,,,,,,,5.24,5.24,,174.38,174.38,,34.88,34.88,27.30,,,171.63,,,,,,,,,,,,,,
16039,,,,,0.33,,,,0.33,,5.24,5.24,,5.24,5.24,,174.38,174.38,,,,,,,171.63,,,,,,2.80,,,,48.40,48.40,,6.29,6.29
16045,,5.33,5.33,,0.33,,,,0.33,,5.24,5.24,,5.24,5.24,,174.38,174.38,34.88,,,27.30,,,,171.63,171.63,,,,,2.80,2.80,,48.40,48.40,6.29,,
16047,,5.33,5.33,,0.33,,,,0.33,,5.24,5.24,,5.24,5.24,,174.38,174.38,,34.88,34.88,,27.30,27.30,,171.63,171.63,,,,,2.80,2.80,7.20,48.40,48.40,6.29,,
16049,5.33,,,0.33,,,,,,,,,,,,,174.38,174.38,34.88,,,27.30,,,,171.63,171.63,0.29,,,2.80,,,7.20,,,6.29,,
16053,,5.33,5.33,,0.33,,,,0.33,,5.24,5.24,,5.24,5.24,,174.38,174.38,,,,,,,,,,,,,2.80,,,7.20,48.40,48.40,6.29,,
16055,,5.33,5.33,0.33,,,,,,,,,,,,,174.38,174.38,34.88,,,27.30,,,,171.63,171.63,,,,,2.80,2.80,,,,6.29,,
16057,5.33,,,0.33,,,,,,,,,,,,,174.38,174.38,,,,,,,,171.63,171.63,0.29,,,2.80,,,7.20,,,6.29,,
16059,5.33,,,,,,,,,,,,,,,,174.38,174.38,,34.88,34.88,,27.30,27.30,,171.63,171.63,,,,,2.80,2.80,7.20,,,,,
16061,5.33,,,0.33,,,,,,,,,,,,174.38,,,,,,,,,171.63,,,0.29,,,2.80,,,,,,6.29,,
16063,5.33,,,,,,,,,,5.24,5.24,,5.24,5.24,,174.38,174.38,,34.88,34.88,27.30,,,171.63,,,,,,,2.80,2.80,7.20,48.40,48.40,,6.29,6.29
16067,,5.33,5.33,,0.33,,,,0.33,,5.24,5.24,,5.24,5.24,,174.38,174.38,,34.88,34.88,,27.30,27.30,,171.63,171.63,,,,,,,7.20,48.40,48.40,,6.29,6.29
16069,5.33,,,0.33,,,,,,,,,,,,,174.38,174.38,,,,,,,171.63,,,0.29,,,,,,7.20,,,6.29,,
16073,,5.33,5.33,,0.33,,,,0.33,,5.24,5.24,,5.24,5.24,,174.38,174.38,34.88,,,,27.30,27.30,,171.63,171.63,,,,,2.80,2.80,7.20,48.40,48.40,6.29,,
