location,BARLEY,"BARLEY, IRRIGATED","BARLEY, NON-IRRIGATED","BEANS, DRY EDIBLE","BEANS, DRY EDIBLE, IRRIGATED","BEANS, DRY EDIBLE, LIMA","BEANS, DRY EDIBLE, LIMA, IRRIGATED","BEANS, DRY EDIBLE, LIMA, NON-IRRIGATED","BEANS, DRY EDIBLE, NON-IRRIGATED","CORN, GRAIN","CORN, GRAIN, IRRIGATED","CORN, GRAIN, NON-IRRIGATED","CORN, SILAGE","CORN, SILAGE, IRRIGATED","CORN, SILAGE, NON-IRRIGATED","HAY, ALFALFA","HAY, ALFALFA, IRRIGATED","HAY, ALFALFA, NON-IRRIGATED","HAYLAGE, ALFALFA","HAYLAGE, ALFALFA, IRRIGATED","HAYLAGE, ALFALFA, NON-IRRIGATED","HAYLAGE, (EXCL ALFALFA)","HAYLAGE, (EXCL ALFALFA), IRRIGATED","HAYLAGE, (EXCL ALFALFA), NON-IRRIGATED","HAY, TAME, (EXCL ALFALFA & SMALL GRAIN)","HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), IRRIGATED","HAY, TAME, (EXCL ALFALFA & SMALL GRAIN), NON-IRRIGATED",LENTILS,"LENTILS, IRRIGATED","LENTILS, NON-IRRIGATED",OATS,"OATS, IRRIGATED","OATS, NON-IRRIGATED",POTATOES,"SUGARBEETS, IRRIGATED","SUGARBEETS, NON-IRRIGATED","WHEAT, WINTER","WHEAT, WINTER, IRRIGATED","WHEAT, WINTER, NON-IRRIGATED"
06001,,,,,,,,,,,,,,,,,,,,,,,,,1.54,,,,,,,,,,,,,,
06005,,,,,,,,,,,,,,,,,5.16,2.28,,,,,,,2.40,,,,,,,,,408.50,,,,,
06007,,,,2222.00,,,,,,,186.07,162.70,27.20,,,,6.56,2.90,,,,,9.44,7.45,,3.69,1.77,,,,,,,408.50,,,,86.50,60.25
06009,,,,,,,,,,,,,,,,6.89,,,,,,,,,2.86,,,,,,,,,,,,,,
06011,,,,,1574.00,,,,1881.33,,186.07,198.30,,,,,7.27,3.21,,,,,,,1.99,,,,,,,,,,,,74.30,,
06013,,,,,,,,,,,186.07,141.00,21.22,,,,5.57,2.46,,,,,,,,2.81,1.35,,,,,,,,,,,,
06017,,,,,1970.00,,,,2152.50,,186.07,191.70,,,,,,,,,,,,,,,,,,,,,,408.50,,,,,
06019,,88.85,36.17,,2074.00,,,,2446.00,,186.07,165.83,,24.29,21.89,,7.39,3.26,5.99,,,14.60,,,3.40,,,,,,,125.11,73.44,408.50,,,88.76,,
06021,85.36,,,,2269.00,,,,2789.67,,186.07,211.96,27.05,,,,6.79,3.00,,,,,13.80,10.88,,2.63,1.26,,,,76.15,,,,,,,92.71,60.53
06023,,,,,1970.00,,,,2152.50,,186.07,183.25,21.67,,,,7.02,3.10,,8.66,5.92,,7.80,6.15,,4.60,2.20,,,,,,,408.50,,,,,
06033,,,,,,,,,,,,,,0.50,0.45,4.07,,,,,,,,,,4.06,1.94,,,,,,,408.50,,,,,
06035,,,,,,,,,,,,,,,,,4.06,1.79,,1.00,0.68,,,,,3.44,1.65,,,,,,,,,,55.35,,
06039,88.47,,,,2231.00,,,,2402.20,,186.07,163.00,25.59,,,,7.25,3.20,4.34,,,14.46,,,,6.62,3.17,,,,,120.58,70.78,,,,,86.13,60.48
06041,,,,,,,,,,,,,,,,,,,,,,,14.17,11.18,,,,,,,,,,408.50,,,,,
06045,,,,,,,,,,,,,,,,,5.63,2.49,,,,,8.94,7.05,,3.10,1.48,,,,,,,408.50,,,,,
06047,45.64,,,,2188.00,,2250.00,2250.00,2189.33,,186.07,188.43,,26.34,23.74,,7.25,3.20,,7.46,5.10,,13.96,11.01,4.94,,,,,,,107.50,63.10,408.50,,,,99.26,58.64
06049,,121.35,42.40,,,,,,,,,,,,,,4.36,1.93,,,,,,,,2.54,1.22,,,,,,,,,,,100.89,0.00
06051,,,,,,,,,,,,,,,,,5.29,2.34,,,,,,,,,,,,,,,,,,,,,
06055,,,,,,,,,,,186.07,141.00,,,,,,,,,,,,,,1.55,0.74,,,,,,,408.50,,,,,
06057,,,,,2600.00,,,,,,186.07,191.70,,,,,,,,,,,1.96,1.55,,1.89,0.91,,,,,,,408.50,,,,,
06061,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,2.03,,,,,,,408.50,,,,,
06063,,,,,,,,,,,,,,,,,3.32,1.47,,,,,,,,1.60,0.77,,,,,,,408.50,,,,,
06067,60.50,,,,,,,,,,186.07,171.85,,24.22,21.83,,6.81,3.01,7.97,,,6.88,,,,2.79,1.34,,,,,,,408.50,,,,,
06077,,66.61,24.10,,2329.00,,2400.00,2400.00,2124.75,,186.07,179.77,,26.96,24.30,,6.75,2.99,,8.06,5.51,,13.78,10.87,,4.43,2.12,,,,,106.21,62.35,408.50,,,,102.06,61.01
06081,,,,,,,,,,,,,,15.00,13.52,,,,,,,,,,,4.72,2.26,,,,123.00,,,408.50,,,,,
06089,,,,,,,,,,,186.07,183.25,,,,,4.40,1.95,,3.74,2.56,4.69,,,,3.83,1.83,,,,,,,408.50,,,,,
06091,,,,,,,,,,,,,,,,2.89,,,,,,,,,,2.78,1.33,,,,,,,,,,,,
06093,,89.84,59.23,,,,,,,,,,,,,,4.64,2.05,,,,,,,,2.59,1.24,,,,,,,408.50,,,,,
06095,55.82,,,,2028.00,,,,2142.67,,186.07,190.13,,32.89,29.64,,6.69,2.96,,,,,7.51,5.92,,3.71,1.78,,,,,,,408.50,,,,73.44,54.57
06097,,,,,2333.00,,2500.00,2500.00,2114.33,,186.07,141.00,31.83,,,4.98,,,,10.07,6.89,,14.31,11.29,,3.25,1.55,,,,56.06,,,408.50,,,19.14,,
06099,69.15,,,,2232.00,,2530.00,2530.00,2400.50,,186.07,139.20,,26.55,23.93,,7.11,3.14,7.02,,,12.74,,,,5.80,2.78,,,,,109.71,64.40,408.50,,,,82.35,57.83
06101,,,,,1892.00,,2114.00,2114.00,1742.40,,186.07,207.63,,,,,6.14,2.71,,,,,,,,4.00,1.91,,,,64.14,,,408.50,,,,98.31,67.25
06103,,,,,,,,,,,186.07,223.30,,26.96,24.30,,5.43,2.40,,,,,,,,2.64,1.26,,,,76.67,,,,,,,,
06105,,,,,,,,,,,,,,,,,0.95,0.42,,,,,0.75,0.59,,2.11,1.01,,,,,,,408.50,,,,,
06109,,,,,1970.00,,,,2152.50,,186.07,191.70,,5.00,4.51,,,,,,,,,,,,,,,,,,,408.50,,,,,
06113,,68.10,27.43,2321.00,,2185.00,,,,,186.07,186.99,,25.61,23.08,,6.78,3.00,,,,5.01,,,,3.51,1.68,,,,,149.62,87.83,408.50,,,,84.02,51.92
06115,,,,,,,,,,,,,29.71,,,4.81,,,,,,,,,,,,,,,53.57,,,,,,86.00,,
16001,,109.02,41.93,,2600.00,,,,2460.00,,191.15,184.03,,27.03,28.37,4.33,,,,7.90,3.06,,9.97,3.23,,2.24,1.68,,,,,103.88,65.27,523.00,34.75,38.11,,115.75,27.19
16003,,,,,,,,,,,,,,,,,3.00,0.99,,,,,,,,2.02,1.52,,,,,,,,,,19.44,,
16009,67.30,,,,,,,,,,,,,,,,,,,,,1.40,,,1.99,,,1150.00,,,,116.66,73.30,395.00,,,65.76,,
16013,,115.67,23.30,,,,,,,,,,,,,,3.79,2.52,,,,,3.66,1.18,,1.68,1.26,,,,,,,,,,,,
16015,,,,,,,,,,,,,,,,,4.03,1.61,,,,,,,1.41,,,,,,,,,,,,,,
16017,,,,,,,,,,,,,,,,,2.76,1.55,1.36,,,5.13,,,,1.78,1.33,,,,56.67,,,395.00,,,,,
16021,71.75,,,,,,,,,,,,,,,2.63,,,,,,,,,2.31,,,,,,66.42,,,395.00,,,73.81,,
16023,,97.38,27.18,,,,,,,,,,,,,3.98,,,,,,,,,,,,,,,,97.95,61.55,372.71,,,,98.12,29.31
